User,Retirement Age,Birth Year,Gender,State,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,Debt-Income ratio,FICO_Category
54,68,1960,Female,TX,25872,52754,38191,693,5,0.7,Good
55,59,1975,Male,NY,25109,51196,67164,631,4,1.3,Fair
56,70,1993,Male,GA,24382,49713,91776,763,1,1.8,Very Good
57,68,1998,Female,OH,21660,44160,134173,696,3,3,Good
58,59,1973,Female,TX,95039,193773,241571,660,1,1.2,Fair
59,66,1979,Female,PA,14650,29864,44902,717,2,1.5,Good
60,67,1997,Male,TX,28135,57367,115418,795,2,2,Very Good
61,58,1957,Female,WA,32697,56635,13015,786,8,0.2,Very Good
62,67,1975,Male,UT,23165,47227,151030,760,4,3.2,Very Good
63,68,1997,Male,TX,12051,24574,80667,674,3,3.3,Good
64,65,1991,Female,NY,21283,43397,42168,697,2,1,Good
65,72,1991,Female,MD,28497,58105,70254,688,3,1.2,Good
66,67,1937,Male,TX,15092,10869,1820,820,2,0.2,Excellent
67,66,1929,Female,PA,12427,19893,1712,566,3,0.1,Poor
68,65,1956,Male,OH,18019,36743,71719,612,2,2,Fair
69,70,1970,Female,NJ,22747,46377,79980,719,3,1.7,Good
70,69,1983,Female,CA,24611,50179,110515,743,1,2.2,Very Good
71,65,1989,Male,CA,26748,54537,121987,765,4,2.2,Very Good
72,66,1996,Male,FL,24155,49255,6557,823,2,0.1,Excellent
73,65,1977,Male,IL,15221,31031,21853,744,7,0.7,Very Good
74,66,1955,Male,TX,34659,70673,87605,714,4,1.2,Good
75,57,1932,Female,AL,13263,16342,1758,747,5,0.1,Very Good
76,65,1997,Male,TX,15183,30961,42597,677,1,1.4,Good
77,67,1961,Female,SC,14864,30305,23392,776,3,0.8,Very Good
78,68,1989,Male,OK,33736,68784,198417,696,4,2.9,Good
79,71,1994,Female,MT,17040,34745,26503,691,4,0.8,Good
80,67,2001,Female,LA,31741,64715,174664,740,3,2.7,Very Good
81,69,1961,Female,PA,39464,80464,76261,727,3,0.9,Good
82,67,2002,Female,PA,24400,49748,23161,748,1,0.5,Very Good
83,58,1958,Male,CA,16113,41904,12545,655,4,0.3,Fair
84,70,1965,Female,CA,96516,196784,437533,729,3,2.2,Good
85,66,1992,Female,MI,49458,100837,61377,687,2,0.6,Good
86,65,1987,Male,MI,25334,51654,95454,600,4,1.8,Fair
87,69,1955,Female,OH,18680,38088,51679,691,2,1.4,Good
88,69,2001,Male,LA,18082,36866,0,680,2,0,Good
89,70,1967,Male,CA,18443,37607,63689,749,5,1.7,Very Good
90,66,1970,Female,CO,16910,34480,58795,696,1,1.7,Good
91,66,1977,Male,WI,23680,48279,114254,719,2,2.4,Good
92,65,1983,Male,FL,16133,32896,69800,735,2,2.1,Good
93,71,2001,Male,CA,14667,29909,42832,664,2,1.4,Fair
94,64,1982,Female,MN,23278,47464,83591,716,1,1.8,Good
95,64,1996,Female,CA,41750,85128,108678,641,1,1.3,Fair
96,69,1965,Male,NC,22487,45852,114746,615,2,2.5,Fair
97,67,1986,Female,AZ,13024,26556,43042,840,2,1.6,Excellent
98,67,1956,Female,FL,19712,40194,107765,738,6,2.7,Good
99,67,1998,Male,TX,30475,62135,75209,676,2,1.2,Good
100,65,1972,Male,FL,19274,39303,23650,702,7,0.6,Good
101,64,1956,Female,MD,35114,71593,132181,821,3,1.8,Excellent
102,67,1944,Male,IL,15451,22158,19101,681,5,0.9,Good
103,66,1957,Male,NY,26481,53996,98211,632,4,1.8,Fair
104,73,1991,Female,FL,12766,26025,23971,723,4,0.9,Good
105,69,1994,Female,NY,31299,63816,100128,775,1,1.6,Very Good
106,73,1964,Female,NC,32485,66230,90248,742,3,1.4,Very Good
107,56,1963,Male,IL,25365,36335,28929,676,2,0.8,Good
108,61,1961,Female,CA,19438,39633,58586,777,3,1.5,Very Good
109,69,1976,Female,IN,28048,57185,0,773,3,0,Very Good
110,69,1982,Male,GA,40530,82637,84762,739,2,1,Good
111,57,1960,Female,MI,34259,31121,32768,619,5,1.1,Fair
112,67,1972,Male,TX,15092,30774,51428,700,3,1.7,Good
113,67,1971,Male,IL,16300,33236,57549,747,1,1.7,Very Good
114,65,1984,Male,TX,18613,37947,49951,683,3,1.3,Good
115,65,1995,Male,KS,21518,43875,128146,639,1,2.9,Fair
116,66,1993,Female,CA,30335,61850,81158,728,9,1.3,Good
117,71,1991,Male,GA,19770,40314,131348,707,4,3.3,Good
118,67,1993,Male,DE,18622,37968,55982,788,3,1.5,Very Good
119,67,1978,Male,MI,17145,34954,45456,772,3,1.3,Very Good
120,74,1979,Male,CA,47055,95945,222735,772,2,2.3,Very Good
121,58,2002,Female,MI,16598,33844,42109,684,2,1.2,Good
122,67,1953,Male,KS,32162,65573,143069,739,4,2.2,Good
123,66,1979,Male,WI,23840,48609,43520,737,3,0.9,Good
124,70,1974,Female,ID,12618,25723,34007,746,3,1.3,Very Good
125,72,2000,Female,AL,25495,51984,79152,691,3,1.5,Good
126,65,1986,Male,CA,52813,107683,225017,694,3,2.1,Good
127,69,1996,Female,CA,16109,32847,33514,721,2,1,Good
128,66,1963,Male,MS,11061,22556,43260,645,4,1.9,Fair
129,54,1984,Female,MD,22590,46063,106528,618,1,2.3,Fair
130,65,2000,Female,CT,46762,95348,71972,706,3,0.8,Good
131,65,1992,Female,KS,22158,45180,13168,698,2,0.3,Good
132,69,1982,Male,FL,15137,30865,55079,594,1,1.8,Fair
133,69,1999,Male,MI,20377,41543,49021,732,4,1.2,Good
134,73,1966,Male,TX,14811,30198,40950,693,6,1.4,Good
135,64,1974,Female,FL,19621,40006,72794,621,1,1.8,Fair
136,68,1966,Male,KS,30232,61646,0,693,3,0,Good
137,67,1980,Female,MD,33175,67643,0,714,6,0,Good
138,71,1933,Female,MI,13820,22650,0,690,6,0,Good
139,67,1956,Male,NY,14856,30288,42745,689,4,1.4,Good
140,65,1952,Male,CA,22549,47213,1082,789,5,0,Very Good
141,66,1943,Female,OK,15005,28215,18116,697,2,0.6,Good
142,55,1987,Male,WA,51751,105515,192458,646,4,1.8,Fair
143,68,1983,Male,FL,13972,28489,6087,808,4,0.2,Excellent
144,69,1956,Female,NC,39752,81048,156195,781,4,1.9,Very Good
145,62,2000,Female,MD,23180,47263,74853,726,2,1.6,Good
146,71,2000,Male,CA,16585,33816,77770,635,1,2.3,Fair
147,69,1994,Female,IL,15770,32160,62803,634,1,2,Fair
148,65,1936,Female,AZ,15462,29494,1196,689,5,0,Good
149,63,1951,Female,TN,36563,70554,39078,655,5,0.6,Fair
150,62,1956,Male,IL,23098,33686,24997,488,2,0.7,Poor
151,72,1927,Female,AZ,30818,57732,2261,726,6,0,Good
152,65,1998,Male,TN,10730,21879,69638,762,1,3.2,Very Good
153,65,1991,Male,PA,25031,51041,106989,686,1,2.1,Good
154,69,2002,Male,MA,34519,70380,106797,725,2,1.5,Good
155,64,1994,Male,IL,20902,42617,67590,771,5,1.6,Very Good
156,65,1944,Male,NJ,21861,46031,8332,661,5,0.2,Fair
157,66,1964,Female,NY,31927,65094,23909,699,3,0.4,Good
158,65,1993,Female,KY,18278,37268,50388,626,1,1.4,Fair
159,67,1967,Female,CT,19114,38972,44098,738,3,1.1,Good
160,64,1957,Female,CA,13075,26661,42667,750,5,1.6,Very Good
161,66,1971,Male,MN,40364,82295,1555,736,4,0,Good
162,68,1972,Male,NC,12630,25748,41455,738,3,1.6,Good
163,65,1963,Male,TN,13668,27861,108313,782,5,3.9,Very Good
164,72,2001,Male,CA,23820,48561,0,752,1,0,Very Good
165,69,1953,Female,IN,19125,38999,64875,747,4,1.7,Very Good
166,66,1957,Male,NC,16239,33112,56040,716,2,1.7,Good
167,66,1985,Female,NC,49477,100880,210445,770,1,2.1,Very Good
168,65,1997,Male,CA,18175,37058,50548,680,2,1.4,Good
169,58,1995,Male,MD,23166,47234,89154,685,3,1.9,Good
170,72,1974,Female,OK,17237,35142,107898,731,4,3.1,Good
171,65,1976,Female,OR,15069,30721,49961,749,3,1.6,Very Good
172,67,1963,Female,GA,28862,58846,126806,746,3,2.2,Very Good
173,68,1990,Male,NY,19161,39069,63884,720,2,1.6,Good
174,65,2000,Female,GA,24252,49449,30723,728,3,0.6,Good
175,73,1980,Female,KY,10942,22312,39445,720,5,1.8,Good
176,72,1987,Male,OK,17845,36388,92949,710,4,2.6,Good
177,68,1967,Female,FL,22086,45037,31792,710,3,0.7,Good
178,63,1972,Female,WI,18937,38615,74337,601,4,1.9,Fair
179,61,1979,Male,NY,13845,28229,55675,622,5,2,Fair
180,67,1961,Female,IN,24638,50232,1218,751,4,0,Very Good
181,66,1960,Male,KY,16847,34350,61639,705,3,1.8,Good
182,69,1972,Male,GA,25654,52308,135319,679,1,2.6,Good
183,66,1992,Female,FL,15724,32061,58904,676,1,1.8,Good
184,69,1945,Male,UT,21749,21154,5764,705,6,0.3,Good
185,72,1967,Female,TX,25594,52186,42852,737,4,0.8,Good
186,70,1976,Female,IN,17294,35264,70328,770,2,2,Very Good
187,71,1935,Female,CA,42234,79870,4031,609,2,0.1,Fair
188,59,1949,Female,MA,26762,41902,29713,633,5,0.7,Fair
189,61,1995,Female,NV,31374,63969,128412,626,1,2,Fair
190,68,1972,Male,VT,16976,34606,23909,680,5,0.7,Good
191,60,1987,Male,GA,13059,26631,33950,805,1,1.3,Excellent
192,64,1980,Male,FL,17645,35978,49366,643,3,1.4,Fair
193,69,1955,Male,TX,24402,49756,89743,618,4,1.8,Fair
194,71,1982,Male,TN,29868,60897,85771,850,3,1.4,Excellent
195,65,1961,Female,GA,20581,41963,53857,741,1,1.3,Very Good
196,60,1982,Female,MN,22059,44976,134335,684,1,3,Good
197,69,1992,Male,TX,22922,46733,34333,692,2,0.7,Good
198,60,1993,Female,MA,23129,47160,64193,578,1,1.4,Poor
199,65,1996,Male,IN,24737,50433,97029,838,3,1.9,Excellent
200,63,1999,Male,WA,25363,51713,86165,809,1,1.7,Excellent
201,65,1974,Male,TX,11876,24215,28552,707,6,1.2,Good
202,59,1970,Male,OH,18293,37298,52134,683,1,1.4,Good
203,67,1994,Male,AZ,19844,40457,68826,739,1,1.7,Good
204,72,1961,Male,MA,40694,82974,181429,503,2,2.2,Poor
205,68,1973,Female,NY,34873,71103,136853,721,4,1.9,Good
206,75,1976,Female,PA,14320,29194,10895,703,2,0.4,Good
207,67,1967,Male,NC,16410,33465,98713,669,3,2.9,Fair
208,71,1999,Female,OH,15361,31314,40331,721,4,1.3,Good
209,68,1983,Male,OK,11633,23718,1386,712,2,0.1,Good
210,66,1973,Female,MD,35645,72670,28915,718,3,0.4,Good
211,67,1995,Female,OH,38243,77972,6128,686,3,0.1,Good
212,66,1981,Female,AR,17093,34854,40722,746,5,1.2,Very Good
213,69,1994,Female,OR,18098,36902,60538,711,1,1.6,Good
214,59,1991,Female,FL,26476,53984,76118,701,1,1.4,Good
215,69,1939,Male,NJ,46827,104692,6955,704,2,0.1,Good
216,66,1995,Female,WA,49629,101191,290730,659,1,2.9,Fair
217,66,1981,Male,MI,34119,69566,50003,791,4,0.7,Very Good
218,71,1998,Male,IL,24223,49382,43126,762,1,0.9,Very Good
219,65,1979,Female,NC,14093,28733,0,702,3,0,Good
220,72,1932,Male,IN,19914,30349,2985,686,4,0.1,Good
221,68,1988,Male,IL,28710,58538,93153,610,1,1.6,Fair
222,66,1987,Female,FL,18100,36901,23293,695,4,0.6,Good
223,65,1950,Male,PA,24725,49531,6707,737,6,0.1,Good
224,66,1951,Male,IL,20649,35370,14777,562,1,0.4,Poor
225,62,1975,Female,OH,18962,38666,116783,822,1,3,Excellent
226,70,1995,Female,MA,20458,41714,54541,687,3,1.3,Good
227,66,1987,Male,VA,12018,24505,52405,759,1,2.1,Very Good
228,65,1977,Male,NY,27778,56640,104134,672,4,1.8,Good
229,67,1966,Female,NY,30202,61578,85383,602,2,1.4,Fair
230,66,1966,Female,IL,24589,50139,109623,767,3,2.2,Very Good
231,68,1998,Male,KS,16990,34646,54205,759,1,1.6,Very Good
232,65,1998,Male,TX,12274,25024,29227,691,2,1.2,Good
233,68,1979,Female,IL,16114,32856,26535,703,3,0.8,Good
234,66,1978,Female,IL,17696,36080,80443,839,3,2.2,Excellent
235,68,1987,Female,TX,14535,29637,56446,569,3,1.9,Poor
236,65,1964,Male,OK,14004,28553,94214,747,3,3.3,Very Good
237,65,2001,Male,MA,21335,43499,108468,701,4,2.5,Good
238,57,1984,Female,IA,29059,59248,173887,725,5,2.9,Good
239,65,1975,Male,IN,32865,67008,81402,778,8,1.2,Very Good
240,68,1988,Female,CA,51976,105963,106266,684,4,1,Good
241,66,1989,Male,AL,27653,56383,130152,800,4,2.3,Excellent
242,78,1981,Male,TX,18934,38609,27463,740,3,0.7,Very Good
243,66,1971,Male,FL,17987,36671,39882,850,3,1.1,Excellent
244,65,1991,Male,GA,19550,39860,112825,728,1,2.8,Good
245,63,2002,Female,VA,18531,37785,58187,748,1,1.5,Very Good
246,68,1969,Male,IL,0,2466,5521,711,2,2.2,Good
247,60,1951,Female,MA,18682,27358,13557,665,2,0.5,Fair
248,65,1994,Female,GA,25025,51024,181184,602,1,3.6,Fair
249,64,1979,Female,OK,49868,101679,307856,592,1,3,Fair
250,71,1999,Male,CA,13632,27801,0,754,1,0,Very Good
251,69,1958,Female,NV,18897,38536,72299,705,1,1.9,Good
252,70,1976,Female,SC,24314,49577,142314,694,3,2.9,Good
253,71,1995,Male,CA,17985,36672,49660,739,2,1.4,Good
254,70,1976,Male,TX,19325,39404,71859,723,5,1.8,Good
255,60,1958,Female,IA,18849,18452,16827,741,6,0.9,Very Good
256,69,1980,Female,IL,27741,56562,111495,712,4,2,Good
257,74,1929,Female,CA,25249,48580,1785,687,7,0,Good
258,67,1978,Female,NH,20338,41469,119423,659,1,2.9,Fair
259,61,1967,Female,KY,15879,32378,65919,588,4,2,Fair
260,67,1963,Male,NC,16888,34437,0,681,4,0,Good
261,68,1936,Female,MN,20697,33897,533,705,4,0,Good
262,64,1981,Male,WA,24044,49023,66148,583,5,1.3,Fair
263,65,1995,Female,IL,18937,38609,39867,798,3,1,Very Good
264,68,2001,Female,VT,15062,30712,38054,723,2,1.2,Good
265,68,1997,Male,TX,16011,32645,59851,790,3,1.8,Very Good
266,65,1938,Female,WA,28248,31912,2182,630,4,0.1,Fair
267,67,1990,Male,NY,18401,37521,65701,775,2,1.8,Very Good
268,70,1957,Female,MD,28673,58463,141151,737,4,2.4,Good
269,68,1983,Female,NM,15407,31414,42233,719,4,1.3,Good
270,63,1987,Female,NY,20159,41106,106963,762,3,2.6,Very Good
271,67,1967,Female,IA,22502,45876,58252,790,7,1.3,Very Good
272,67,1982,Female,CA,28760,58637,87340,803,6,1.5,Excellent
273,63,1984,Male,AR,47364,96574,265319,590,3,2.7,Fair
274,67,2002,Male,NJ,21642,44128,142368,687,3,3.2,Good
275,72,1942,Female,CO,22185,31942,11845,713,6,0.4,Good
276,66,1992,Male,VA,28410,57927,87736,557,1,1.5,Poor
277,66,1999,Male,IA,22425,45725,102164,688,4,2.2,Good
278,65,1980,Male,ME,21647,44134,0,792,4,0,Very Good
279,66,2001,Male,CA,27748,56579,79726,705,2,1.4,Good
280,63,1983,Male,NC,22983,46864,58954,751,4,1.3,Very Good
281,67,1975,Female,NV,27761,56605,87970,624,3,1.6,Fair
282,66,1988,Female,CA,25115,51209,76900,765,1,1.5,Very Good
283,69,1968,Male,FL,37424,76305,112785,692,3,1.5,Good
284,61,2001,Male,PA,30076,61325,83899,652,1,1.4,Fair
285,69,1977,Male,CA,15583,31772,17286,734,4,0.5,Good
286,67,1958,Female,OR,35992,73383,155191,760,2,2.1,Very Good
287,66,1964,Male,MA,26137,53287,51026,816,4,1,Excellent
288,67,1931,Female,TN,19115,19225,1644,809,8,0.1,Excellent
289,65,1957,Female,OH,29692,60541,160456,716,3,2.7,Good
290,61,1975,Female,MI,21639,44124,107162,850,1,2.4,Excellent
291,65,1932,Female,MI,24578,36764,839,712,8,0,Good
292,63,1972,Male,AL,14516,29597,44388,513,4,1.5,Poor
293,66,1983,Female,OH,18959,38656,47523,584,1,1.2,Fair
294,64,1974,Male,NM,15385,31373,58481,637,2,1.9,Fair
295,68,1997,Female,PA,16519,33681,78326,697,2,2.3,Good
296,64,1980,Male,CA,18740,38211,84427,665,2,2.2,Fair
297,62,1979,Female,FL,13144,26802,43444,638,2,1.6,Fair
298,65,1962,Female,TN,12427,25334,182,696,3,0,Good
299,67,1985,Male,PA,30361,61904,125358,639,3,2,Fair
300,68,1918,Female,AZ,13086,15348,1396,761,4,0.1,Very Good
301,66,1975,Female,TN,15955,32527,74331,705,3,2.3,Good
302,63,1969,Male,FL,21661,44170,90049,661,7,2,Fair
303,64,1991,Female,OR,22599,46077,101450,686,1,2.2,Good
304,66,1961,Male,LA,11324,23092,20545,752,4,0.9,Very Good
305,69,2000,Male,CO,15064,30710,30956,680,2,1,Good
306,62,1997,Female,OK,19856,40491,81879,691,2,2,Good
307,62,1975,Male,CA,25234,51454,151162,698,4,2.9,Good
308,63,1973,Female,NY,46169,94133,189899,603,1,2,Fair
309,72,1961,Male,FL,18005,36710,116794,786,5,3.2,Very Good
310,70,1957,Male,AL,18533,37785,81500,745,3,2.2,Very Good
311,66,1961,Female,WA,16537,33717,58236,698,6,1.7,Good
312,64,1970,Male,CA,14709,29994,100834,769,1,3.4,Very Good
313,63,1977,Female,FL,14430,29422,58679,598,1,2,Fair
314,67,1980,Male,PA,17405,35489,91995,724,5,2.6,Good
315,65,1992,Female,AZ,16238,33106,108695,763,2,3.3,Very Good
316,65,1994,Female,IL,29281,59699,71110,688,1,1.2,Good
317,70,1961,Male,OR,33737,68787,171854,527,1,2.5,Poor
318,67,1954,Female,MI,33031,67344,7049,804,4,0.1,Excellent
319,64,1952,Female,CA,51692,88432,63075,694,6,0.7,Good
320,68,1983,Male,TX,26061,53138,153374,606,4,2.9,Fair
321,65,1931,Female,ND,22214,38523,49,751,5,0,Very Good
322,63,1944,Male,FL,34909,26660,28332,721,4,1.1,Good
323,67,1966,Female,PA,34043,69412,177225,620,1,2.6,Fair
324,67,1993,Male,LA,32314,65888,162364,803,2,2.5,Excellent
325,63,1983,Male,CA,12362,25205,65179,688,1,2.6,Good
326,65,1981,Female,NY,19433,39627,47793,718,4,1.2,Good
327,66,1978,Female,MS,13717,27967,50159,690,2,1.8,Good
328,68,1969,Female,LA,18709,38142,0,768,4,0,Very Good
329,67,1984,Female,WA,28919,58964,71890,619,1,1.2,Fair
330,66,1945,Male,MA,56720,58378,73124,652,1,1.3,Fair
331,68,1966,Male,TX,26420,53872,64269,691,5,1.2,Good
332,59,1944,Female,MN,28429,41513,15899,748,3,0.4,Very Good
333,69,1970,Female,LA,26772,54587,69070,761,6,1.3,Very Good
334,62,1997,Male,OH,20400,41595,54451,675,1,1.3,Good
335,64,1975,Male,NY,22047,44953,97076,728,1,2.2,Good
336,65,1991,Male,IN,17264,35199,68569,739,2,1.9,Good
337,59,1991,Female,IL,13891,28324,62363,695,2,2.2,Good
338,72,1981,Male,PA,16375,33387,69066,526,3,2.1,Poor
339,67,1995,Male,TN,15209,31006,71031,681,2,2.3,Good
340,60,1990,Male,NC,16006,32636,42290,782,1,1.3,Very Good
341,65,1961,Male,TX,12693,25883,44404,706,4,1.7,Good
342,60,1993,Female,CA,9352,19069,23153,658,1,1.2,Fair
343,66,1960,Female,AZ,22070,44992,53368,785,3,1.2,Very Good
344,72,1961,Male,FL,15840,32295,72357,698,4,2.2,Good
345,66,1962,Female,NY,33919,69159,135111,786,3,2,Very Good
346,59,1977,Female,MI,6201,12643,19299,645,1,1.5,Fair
347,65,1985,Female,CA,42685,87030,161964,727,3,1.9,Good
348,66,1937,Female,IL,25365,41793,1141,730,5,0,Good
349,71,1981,Male,AL,20553,41907,87163,728,4,2.1,Good
350,61,1971,Male,NH,19781,40336,144284,668,4,3.6,Fair
351,62,2000,Female,OH,15539,31683,46987,817,4,1.5,Excellent
352,67,1962,Female,NV,19377,39508,18870,770,4,0.5,Very Good
353,67,1978,Male,SC,12189,24859,43986,683,2,1.8,Good
354,67,1977,Male,MA,34059,69440,129944,743,3,1.9,Very Good
355,70,1995,Male,TX,10626,21666,38058,610,2,1.8,Fair
356,66,1989,Female,NY,22855,46599,12700,684,4,0.3,Good
357,71,1997,Male,CA,24781,50525,118160,701,2,2.3,Good
358,68,1959,Female,IL,25698,52397,72810,729,3,1.4,Good
359,63,1966,Male,IN,19236,39222,66559,583,3,1.7,Fair
360,60,1946,Male,TX,12434,18015,10463,645,2,0.6,Fair
361,64,1954,Female,MI,20035,42102,9645,672,3,0.2,Good
362,66,1983,Male,IA,18302,37316,37515,726,2,1,Good
363,67,2001,Female,CA,20460,41717,27174,718,5,0.7,Good
364,71,1944,Male,KY,14920,20797,10127,777,1,0.5,Very Good
365,69,1943,Male,MN,39155,38800,25867,758,7,0.7,Very Good
366,68,1968,Male,VA,14528,29622,17385,694,3,0.6,Good
367,65,1931,Female,KY,19620,31399,2528,757,4,0.1,Very Good
368,66,1971,Female,MD,31075,63355,0,708,5,0,Good
369,71,2000,Female,TX,15299,31197,84749,844,2,2.7,Excellent
370,67,1981,Male,NY,51032,104049,247623,741,2,2.4,Very Good
371,69,1984,Male,TX,24608,50177,101323,681,4,2,Good
372,64,1979,Female,SC,16843,34344,48931,548,1,1.4,Poor
373,72,1989,Female,PA,17110,34884,26799,705,5,0.8,Good
374,69,1986,Female,MD,27906,56897,0,699,5,0,Good
375,72,1981,Female,DE,35630,72647,90579,739,1,1.2,Good
376,66,1970,Male,AL,25381,51755,88605,806,1,1.7,Excellent
377,66,1959,Male,MA,56632,115465,195657,715,4,1.7,Good
378,70,2002,Male,FL,17522,35731,71825,503,2,2,Poor
379,70,2002,Female,FL,31847,64936,107755,688,2,1.7,Good
380,68,1995,Male,NV,30757,62711,68777,798,3,1.1,Very Good
381,68,1978,Female,NJ,15157,30910,42507,749,4,1.4,Very Good
382,71,1992,Male,WA,21219,43264,89798,729,1,2.1,Good
383,67,2001,Male,CA,23990,48909,71310,740,2,1.5,Very Good
384,71,1987,Female,IL,42028,85694,120733,822,2,1.4,Excellent
385,68,1938,Female,OK,18585,27864,1371,591,6,0,Fair
386,68,1998,Male,WI,21828,44513,105303,778,6,2.4,Very Good
387,69,1992,Female,VA,28459,58026,133169,691,1,2.3,Good
388,70,2001,Female,TX,31193,63600,102773,645,1,1.6,Fair
389,75,2000,Female,MS,15597,31797,5400,843,2,0.2,Excellent
390,66,1979,Female,CA,21869,44585,81825,684,5,1.8,Good
391,67,1968,Female,MO,20316,41427,53773,850,3,1.3,Excellent
392,72,1968,Female,SC,16928,34517,74143,645,2,2.1,Fair
393,65,1970,Female,UT,21232,43294,104521,816,7,2.4,Excellent
394,66,1992,Female,CO,30072,61317,0,741,3,0,Very Good
395,65,1951,Male,CA,32079,50184,27778,732,4,0.6,Good
396,75,1972,Male,OH,21156,43133,44263,693,3,1,Good
397,65,1996,Female,IA,21757,44361,71031,705,1,1.6,Good
398,66,1962,Female,CA,13075,26664,12241,709,4,0.5,Good
399,65,1934,Female,VA,29485,41843,1741,500,3,0,Poor
400,70,1998,Male,FL,24500,49952,95184,780,1,1.9,Very Good
401,60,1993,Male,IL,48986,99883,171034,732,1,1.7,Good
402,65,1979,Female,IN,18898,38527,36933,684,2,1,Good
403,63,1988,Female,VT,18013,36729,48624,686,3,1.3,Good
404,67,1957,Female,NY,14456,29477,56355,850,4,1.9,Excellent
405,65,1967,Male,CA,35137,71645,155006,629,3,2.2,Fair
406,65,1957,Female,NY,22674,46232,68957,691,4,1.5,Good
407,66,1999,Female,IN,18036,36775,102641,850,3,2.8,Excellent
408,65,1978,Male,ID,19036,38812,16331,762,4,0.4,Very Good
409,67,1999,Female,NY,19682,40130,55801,798,1,1.4,Very Good
410,66,1981,Female,NY,17679,36045,0,683,3,0,Good
411,73,1968,Female,NJ,32610,66489,83828,731,2,1.3,Good
