User,Card_0_Total,Card_1_Total,Card_2_Total,Card_3_Total,Card_4_Total,Card_5_Total,Card_6_Total,Card_7_Total,Card_8_Total,Year_1991_Total,Year_1992_Total,Year_1993_Total,Year_1994_Total,Year_1995_Total,Year_1996_Total,Year_1997_Total,Year_1998_Total,Year_1999_Total,Year_2000_Total,Year_2001_Total,Year_2002_Total,Year_2003_Total,Year_2004_Total,Year_2005_Total,Year_2006_Total,Year_2007_Total,Year_2008_Total,Year_2009_Total,Year_2010_Total,Year_2011_Total,Year_2012_Total,Year_2013_Total,Year_2014_Total,Year_2015_Total,Year_2016_Total,Year_2017_Total,Year_2018_Total,Year_2019_Total,Year_2020_Total,State_International_Total,State_Online_Total,State_US_State_Total,Retirement Age,Birth Year,Gender,State,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,Debt-Income ratio,FICO_Category,Digital Goods & Subscriptions,Dining & Entertainment,Education & Professional Services,Healthcare,Other,Retail,Transport,Travel & Lodging,Utilities & Home Services,Avg Credit Limit,cardtype_credit,cardtype_debit,cardtype_debit_(prepaid),cardbrand_Amex,cardbrand_Discover,cardbrand_Mastercard,cardbrand_Visa,Total Cards
224,5794.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5794.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.74,5007.54,66,1951,Male,IL,20649,35370,14777,562,1,0.4,Poor,366.33,246.64,0.0,71.37,892.09,2158.25999999999,1652.84,0.0,406.75,12700.0,1,0,0,0,0,1,0,1
225,254249.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14301.23,22448.5799999999,23566.42,21012.92,25259.29,20080.88,19331.38,21435.84,25009.12,23033.33,20078.37,16866.77,1825.7,681.189999999999,51405.83,202162.81,62,1975,Female,OH,18962,38666,116783,822,1,3.0,Excellent,11222.37,6915.55,892.46,7384.11,110576.83,38470.82,4635.25,49.3399999999999,74103.1,4600.0,1,0,0,0,0,0,1,1
226,1598.26,672.7,132212.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24500.13,21588.12,25444.95,27917.26,29788.73,5243.88,1129.05,9506.07,123847.95,70,1995,Female,MA,20458,41714,54541,687,3,1.3,Good,819.29,1221.52,0.0,9751.15,71222.84,29675.31,10804.16,257.06,10731.74,14674.3333333333,1,2,0,0,0,3,0,3
227,3185.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3185.28,0.0,662.319999999999,2522.96,66,1987,Male,VA,12018,24505,52405,759,1,2.1,Very Good,114.63,113.43,0.0,451.72,982.68,543.88,96.72,183.87,698.35,5600.0,1,0,0,0,0,1,0,1
228,71490.13,158315.56,445564.61,120210.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52848.21,56881.06,57760.22,60482.55,57747.89,59644.25,60612.7,56091.76,66135.15,63944.77,65608.78,64862.32,63023.93,9936.92,26903.17,56585.03,712092.31,65,1977,Male,NY,27778,56640,104134,672,4,1.8,Good,12535.84,402789.13,0.0,26176.25,175505.87,81816.71,36457.35,2007.02,58292.34,13946.75,3,1,0,0,0,2,2,4
229,374347.94,773250.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5906.29,67653.86,64123.04,71429.69,65584.8199999999,67140.92,65447.96,74163.8,79373.63,68177.49,70243.68,73849.93,72822.82,75059.87,76761.35,67145.86,72469.82,10243.85,6826.46,190369.44,950402.78,67,1966,Female,NY,30202,61578,85383,602,2,1.4,Fair,9397.66,6093.26,225.32,55102.92,398642.09,390145.45,188756.63,3094.05,96141.3,26189.0,0,2,0,0,0,0,2,2
230,295135.03,234611.69,7192.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7352.89,45426.18,48108.92,43580.94,44742.97,43891.58,49621.86,45866.58,57915.09,51691.49,46023.68,46999.03,5717.87,2471.11,58880.47,475587.5,66,1966,Female,IL,24589,50139,109623,767,3,2.2,Very Good,1855.41,32957.65,0.0,6282.46,261247.04,122889.26,42992.26,11293.81,57421.19,15309.0,2,1,0,0,0,2,1,3
231,204.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.01,0.0,26.6899999999999,177.32,68,1998,Male,KS,16990,34646,54205,759,1,1.6,Very Good,14.89,0.0,0.0,0.0,60.65,109.37,19.0999999999999,0.0,0.0,16.0,0,0,1,0,0,0,1,1
232,3368.75999999999,507.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3876.16,0.0,878.64,2997.52,65,1998,Male,TX,12274,25024,29227,691,2,1.2,Good,225.96,235.73,0.0,394.419999999999,891.55,928.77,211.87,0.0,987.86,7073.0,1,1,0,0,0,1,1,2
233,6992.71,120619.98,669402.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43827.9,47350.43,49050.5,47295.63,47569.2,51231.92,48692.1,50662.91,49846.68,49319.61,46402.81,50419.57,54936.44,52993.18,52266.66,47552.43,7597.01,1225.56,66501.38,729288.04,68,1979,Female,IL,16114,32856,26535,703,3,0.8,Good,18480.52,68413.68,1127.97,40772.71,291347.81,196124.12,31106.07,235.79,149406.31,9918.0,1,1,1,0,0,1,2,3
234,30323.73,459294.58,17374.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10523.23,31334.48,25057.31,26845.82,25936.76,28285.39,23619.76,27650.29,29680.54,28200.75,30539.62,33871.41,26842.65,25148.84,26744.32,26840.27,25613.34,24800.68,26246.52,3211.24,2726.78,39949.57,464316.87,66,1978,Female,IL,17696,36080,80443,839,3,2.2,Excellent,3305.6,83593.3,0.0,46738.82,127573.62,144054.53,29134.66,560.21,72032.48,8557.66666666666,0,2,1,0,0,3,0,3
235,1477.21,477396.51,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12152.39,36093.31,34731.88,36121.88,32242.18,34549.48,34323.57,33846.47,35552.23,36477.84,36668.55,38078.63,35425.89,36777.29,5834.79,856.37,38452.13,439567.88,68,1987,Female,TX,14535,29637,56446,569,3,1.9,Poor,19.8,16667.93,362.87,6324.23,43641.95,190689.13,164583.3,27.59,56559.58,8690.66666666666,0,2,1,0,0,2,1,3
236,294445.09,92257.49,284682.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22054.09,45194.26,47111.84,44656.36,45756.82,44510.33,48454.84,45732.2,44879.78,47039.93,44555.42,42080.66,50393.79,45523.96,47235.44,6205.15,856.55,60155.67,610372.65,65,1964,Male,OK,14004,28553,94214,747,3,3.3,Very Good,8685.46,18702.8,933.75,35449.46,438376.95,53758.7,17184.62,1324.84,96968.29,5361.66666666666,1,2,0,0,0,2,1,3
237,608.939999999999,1247.01,647.8,2030.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4534.12,0.0,1179.61,3354.50999999999,65,2001,Male,MA,21335,43499,108468,701,4,2.5,Good,0.0,369.39,0.0,0.0,2193.51,559.62,31.6699999999999,0.0,1379.93,5639.5,2,2,0,0,0,1,3,4
238,521.44,174444.18,335.22,566.96,336651.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3275.69,39447.9,41813.32,43378.17,45786.53,48721.41,49191.09,45803.63,46074.83,46649.48,50035.01,43207.35,9134.69,1099.45,68894.27,442525.38,57,1984,Female,IA,29059,59248,173887,725,5,2.9,Good,17166.27,43616.95,3664.21,11285.95,165134.67,148804.91,46172.2,1140.08,75533.86,19617.2,2,2,1,0,0,2,3,5
239,85106.48,956.88,22047.81,282852.4,56059.03,33413.34,223691.5,107796.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30491.46,33597.1,31619.23,35967.5,41552.59,44213.26,41472.72,40141.53,41303.65,43355.08,41674.83,42777.15,42538.62,39015.49,40677.63,42945.3,43041.38,46145.62,40104.73,41850.85,7437.97,10101.94,112001.86,689819.89,65,1975,Male,IN,32865,67008,81402,778,8,1.2,Very Good,26542.42,33940.35,0.0,36986.02,335695.6,176687.14,93492.29,8499.98,100079.89,22215.375,1,5,2,0,0,6,2,8
240,200225.02,343438.97,42962.44,762365.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56050.96,113555.7,106497.2,116221.58,114009.74,123027.58,117809.99,113763.88,122862.38,115035.74,120687.33,112537.46,16931.97,5470.53,361064.15,982456.83,68,1988,Female,CA,51976,105963,106266,684,4,1.0,Good,15569.48,100387.47,0.0,22977.27,641385.96,181776.24,322003.53,1928.63,62962.93,42756.5,1,3,0,0,0,1,3,4
241,1300.88,9954.84,978.03,360592.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9954.84,26772.4,37211.07,33884.06,35982.71,39488.37,36180.21,38217.77,35389.97,37914.84,36389.99,5439.61,2075.73,62518.24,308231.87,66,1989,Male,AL,27653,56383,130152,800,4,2.3,Excellent,10333.03,19633.94,824.63,11550.81,135784.86,92158.49,38505.12,339.91,63695.05,13004.75,3,1,0,0,1,1,2,4
242,380401.07,65472.88,355730.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1526.15,33727.91,41594.01,40435.44,43401.17,43922.57,44437.61,49713.63,44384.78,48942.31,50098.0,42226.86,46373.32,46937.16,43454.22,45729.29,47451.83,43947.98,42163.2,1137.47,1755.54,64450.65,735398.72,78,1981,Male,TX,18934,38609,27463,740,3,0.7,Very Good,15456.1,19833.29,5475.33,14370.87,174972.01,308451.18,181620.41,1112.55,80313.17,10326.0,1,1,1,0,0,2,1,3
243,63152.28,184640.71,199607.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12275.74,15770.88,15939.49,18567.66,28210.9,24785.06,28298.5,26411.46,25357.39,26942.45,28426.78,27142.09,24926.25,28042.14,26525.65,30689.13,28010.09,27805.06,3273.43,4204.91,94933.02,348262.22,66,1971,Male,FL,17987,36671,39882,850,3,1.1,Excellent,6743.67,74803.85,0.0,2003.15,162546.64,78112.22,63506.38,1076.67,58607.57,4662.66666666666,1,1,1,0,1,2,0,3
244,5290.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.42,5172.22,0.0,2838.72,2451.92,65,1991,Male,GA,19550,39860,112825,728,1,2.8,Good,0.0,169.58,0.0,0.0,742.26,1085.0,2751.82,0.0,541.98,24079.0,0,1,0,0,0,0,1,1
245,10460.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10460.83,0.0,4281.39,6179.44,63,2002,Female,VA,18531,37785,58187,748,1,1.5,Very Good,0.0,251.01,0.0,103.62,3713.1,1351.92,4222.41,0.0,818.77,10058.0,0,1,0,0,0,1,0,1
246,10730.33,79239.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6090.74,11220.39,10191.88,11210.36,8815.41,10266.17,10180.28,10363.1,10216.98,1414.17,0.0,13531.52,76437.96,68,1969,Male,IL,0,2466,5521,711,2,2.2,Good,5573.77,1253.54,0.0,7853.46,19502.13,15865.98,5545.55999999999,0.0,34375.04,1093.0,0,2,0,0,0,1,1,2
247,35497.44,310393.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22518.52,36845.43,34275.13,31874.77,33828.68,34654.66,34194.13,37851.67,36419.02,37586.8,5842.35,0.0,36161.16,309730.0,60,1951,Female,MA,18682,27358,13557,665,2,0.5,Fair,957.66,122914.68,0.0,34769.15,78983.94,45415.36,18881.54,795.09,43173.74,9406.5,1,1,0,0,0,1,1,2
248,16182.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16182.14,0.0,0.0,3235.94,12946.2,65,1994,Female,GA,25025,51024,181184,602,1,3.6,Fair,345.85,1534.55,0.0,1311.52,4258.59,2514.9,2797.74,0.0,3418.99,13700.0,1,0,0,1,0,0,0,1
249,2187040.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.46,135008.87,144788.8,150053.97,152907.03,147459.96,146993.44,138376.06,145504.59,155573.2,142590.7,145605.21,131364.21,143919.29,138531.62,143323.78,23768.49,21793.65,255222.91,1910024.12,64,1979,Female,OK,49868,101679,307856,592,1,3.0,Fair,20817.82,112009.53,27910.23,22438.61,719930.28,812831.68,325725.88,5365.16,140011.49,19097.0,0,1,0,0,0,0,1,1
250,2332.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2332.54,0.0,889.89,1442.65,71,1999,Male,CA,13632,27801,0,754,1,0.0,Very Good,66.49,514.21,0.0,0.0,541.63,191.07,640.58,0.0,378.56,12874.0,0,1,0,0,0,1,0,1
251,289943.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17802.3,25994.48,29325.52,29958.34,28298.49,26096.41,31131.21,26101.6,25353.27,27881.23,22000.46,0.0,0.0,0.0,0.0,0.0,1200.76,28930.73,259811.82,69,1958,Female,NV,18897,38536,72299,705,1,1.9,Good,10700.94,7114.31,3203.06,24557.47,131092.53,48168.65,16496.61,154.13,48455.61,8900.0,1,0,0,0,0,0,1,1
252,77117.07,765791.56,601391.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1871.13,5124.46,4594.48,4465.56,5104.91,3846.1,4769.71,44449.52,83409.64,84392.17,79122.11,79041.16,87592.65,81206.21,88269.97,85734.7,84643.93,81808.2,87487.63,92419.32,86037.27,81723.36,87091.84,84944.14,15150.37,14920.03,119908.96,1309471.55,70,1976,Female,SC,24314,49577,142314,694,3,2.9,Good,13598.66,70261.77,1288.78,5970.35,370139.42,521175.08,279509.68,3016.08,179340.72,11394.6666666666,0,2,1,0,0,1,2,3
253,7994.36,2856.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10851.13,0.0,4695.66,6155.47,71,1995,Male,CA,17985,36672,49660,739,2,1.4,Good,204.04,96.9,0.0,368.4,2201.96,3218.72,4389.71,0.0,371.4,12884.5,1,1,0,0,0,1,1,2
254,128274.76,195717.11,48743.35,589623.84,20564.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57974.77,68336.9,70102.94,65122.58,66223.81,63727.25,69214.69,70405.99,71077.34,76603.26,71053.11,75180.56,68305.82,73952.11,15642.25,2696.92,332465.23,647761.23,70,1976,Male,TX,19325,39404,71859,723,5,1.8,Good,13917.11,322407.98,0.0,8524.8,168887.74,88020.59,293305.65,1810.84,86048.67,13616.6,2,3,0,0,0,3,2,5
255,79797.43,34827.98,75685.63,140.0,194390.83,92401.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2727.53,25328.88,25278.66,21005.35,22978.76,26740.89,24786.19,27330.4,26785.84,31065.09,24368.38,23239.45,30354.31,24431.66,28546.57,26475.94,26359.23,27871.72,26488.55,5080.08,1044.43,44027.38,432171.67,60,1958,Female,IA,18849,18452,16827,741,6,0.9,Very Good,4831.94,14597.07,0.0,24313.77,250398.35,88689.36,25426.32,2703.18999999999,66283.48,8615.33333333333,5,1,0,1,1,4,0,6
256,90264.25,623.98,300243.27,105516.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17686.24,36100.88,38805.7,41981.1599999999,42987.27,42178.07,39896.01,41080.6,36634.56,41110.31,35770.17,35760.63,41048.15,5607.82,5047.11,36424.09,455176.37,69,1980,Female,IL,27741,56562,111495,712,4,2.0,Good,9928.18,33165.88,3601.92,9706.01,178835.33,155322.48,53699.81,2023.37999999999,50364.58,23246.5,1,3,0,1,0,1,2,4
257,99798.95,205573.08,105390.62,53961.28,100285.61,248868.67,11892.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.75,31551.66,53775.31,50072.12,50820.77,50195.45,53083.82,47337.77,49902.74,48552.63,49370.49,44952.31,47871.35,51458.0,45918.75,46987.23,48697.71,47554.28,7149.74,2062.83,111930.5,711777.55,74,1929,Female,CA,25249,48580,1785,687,7,0.0,Good,12749.22,62213.87,1203.82,42080.54,301288.43,259378.77,32504.01,6378.42,107973.8,16324.7142857142,3,3,1,0,1,6,0,7
258,471431.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15877.81,64756.45,63593.8,65360.84,63307.29,66683.97,64126.04,62104.4,5620.64,2241.14,137574.47,331615.63,67,1978,Female,NH,20338,41469,119423,659,1,2.9,Fair,9106.13,84697.02,8467.76,2117.64,60800.32,43119.99,235410.68,193.45,27518.25,2400.0,1,0,0,0,1,0,0,1
259,39282.93,151152.48,117454.06,37075.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.07,23742.09,22925.26,25676.32,22781.24,25434.14,25060.34,24766.46,25065.51,23961.65,25729.37,25661.87,22910.26,22932.33,24518.27,3018.86,1296.84,61772.4,281895.8,61,1967,Female,KY,15879,32378,65919,588,4,2.0,Fair,13758.67,28330.42,1867.25,14146.27,112217.92,75028.66,25606.09,3336.68,70673.08,6148.25,2,1,1,0,0,1,3,4
260,373190.7,54556.2,126235.48,268481.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22393.38,54042.93,56532.77,56960.17,53934.51,56485.46,53528.83,57131.49,57766.31,57692.37,58618.43,57287.02,54500.67,59414.48,57757.39,8417.27,1055.26,69599.82,751808.4,67,1963,Male,NC,16888,34437,0,681,4,0.0,Good,6024.68,42684.41,0.0,17241.1,220593.22,103706.61,346346.95,1567.94,84298.57,15144.5,1,3,0,0,0,1,3,4
261,61212.73,194650.31,10506.9,177667.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15429.82,20464.01,23974.97,22476.03,25106.91,21867.2,21981.38,22847.5,28596.63,26339.26,21972.48,23760.27,29412.82,23083.68,24011.03,26021.99,22536.43,21306.66,19418.86,3429.22,2268.62,66697.5,375071.03,68,1936,Female,MN,20697,33897,533,705,4,0.0,Good,14888.33,18024.63,2535.16,12797.41,195185.83,78755.45,53511.43,1916.59,66422.3199999999,19775.75,0,4,0,0,0,2,2,4
262,28996.94,621692.47,296159.77,189769.21,298598.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37815.47,82437.76,88356.3,90841.92,89376.05,89699.83,91179.01,92679.64,92590.74,99614.71,93623.34,94494.33,94101.3199999999,97995.07,96845.63,88811.38,14754.64,2767.84,256124.71,1176324.59,64,1981,Male,WA,24044,49023,66148,583,5,1.3,Fair,11160.38,314680.39,1518.83,28186.99,252622.19,321939.03,392422.78,2863.61,109822.94,10494.6,0,4,1,0,0,3,2,5
263,1057.46,3439.41,2033.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6530.48,0.0,3174.26,3356.22,65,1995,Female,IL,18937,38609,39867,798,3,1.0,Very Good,29.9199999999999,1089.56,0.0,456.38,722.26,451.44,3155.34,0.0,625.579999999999,10343.3333333333,2,1,0,0,0,1,2,3
264,3133.02999999999,747.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3880.58,0.0,188.12,3692.46,68,2001,Female,VT,15062,30712,38054,723,2,1.2,Good,19.64,1882.23,0.0,105.24,1244.01,348.08,114.61,0.0,166.769999999999,11298.0,1,1,0,0,1,1,0,2
265,8120.38,1050.95,1019.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4912.61,5278.58,0.0,1534.77,8656.42,68,1997,Male,TX,16011,32645,59851,790,3,1.8,Very Good,305.78,841.42,0.0,0.0,4203.99,2239.72,622.69,0.0,1977.59,13392.0,1,2,0,0,0,0,3,3
266,395629.62,16777.06,15577.53,223279.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.94,37166.09,37301.9,35318.49,36324.97,40928.53,37352.75,36615.1,39343.98,39232.63,40323.49,41096.73,37198.06,35437.23,37635.16,34399.5,40396.3,38228.25,6193.04,2634.61,79021.98,569607.55,65,1938,Female,WA,28248,31912,2182,630,4,0.1,Fair,21993.16,105814.61,4152.46,40639.72,238683.82,93447.52,22138.1,4257.87,120136.88,15473.5,0,3,1,0,0,2,2,4
267,8384.6,62728.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5028.7,12166.87,10863.34,12035.25,11432.89,11201.79,0.0,0.0,8384.6,8.03,7713.47,63391.94,67,1990,Male,NY,18401,37521,65701,775,2,1.8,Very Good,43.25,14256.95,0.0,0.0,29066.41,14034.31,9013.88,0.0,4698.64,18625.5,0,1,1,0,0,2,0,2
268,56751.78,356830.39,543012.37,43031.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36914.29,66943.29,62900.8,65623.59,65808.71,60924.31,62464.88,58394.7,61011.98,63357.05,67933.95,62776.21,62478.99,61106.67,66469.44,66830.64,7686.15,2656.29,165679.54,831289.82,70,1957,Female,MD,28673,58463,141151,737,4,2.4,Good,19550.95,28342.19,19441.4,20556.2,346619.95,209425.35,236011.13,1082.77,118595.71,20815.0,1,3,0,0,0,2,2,4
269,1542.86,212579.06,167360.77,232918.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34352.77,51865.49,52141.04,49279.05,53442.95,52881.86,50411.79,53690.57,57100.85,46357.49,55571.49,49796.76,7508.99,1041.62,25125.33,588234.15,68,1983,Female,NM,15407,31414,42233,719,4,1.3,Good,2272.2,23092.94,9226.7,6791.96,490341.13,44643.78,16877.21,1658.22,19496.96,13523.5,1,3,0,0,0,2,2,4
270,439.0,410.15,1926.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.39,0.0,667.54,2107.85,63,1987,Female,NY,20159,41106,106963,762,3,2.6,Very Good,330.1,73.79,0.0,159.12,521.34,589.92,97.25,0.0,1003.87,4785.0,2,1,0,0,0,1,2,3
